03-12-2018 12:29:33 AM - INFO -  [ ------ EXPERIMENT: RESNET_POLAR_041218 ------ ] 

03-12-2018 12:29:33 AM - INFO -  --- PARAMETERS: --- 
03-12-2018 12:29:33 AM - INFO - Predefined metrics: [val_loss], f2, average_precision, average_recall, hamming_score
03-12-2018 12:29:33 AM - INFO - Predefined architecutres: resnet18, resnet34
03-12-2018 12:29:33 AM - INFO - Predefined batch sizes: 8, 16, 32, 64
03-12-2018 12:29:33 AM - INFO - Predefined image sizes: 64, 128, 256, 512
03-12-2018 12:29:33 AM - INFO - Dropout: 0.5
03-12-2018 12:29:33 AM - INFO - Earlystopping after: 12 epochs.
03-12-2018 12:29:33 AM - INFO - Log every 1 epochs.
03-12-2018 12:29:33 AM - INFO - GPU: 2 | Available: 4 

03-12-2018 12:29:33 AM - INFO -     ----- *** RESNET18 *** ----- 

03-12-2018 12:30:09 AM - INFO -  Learning rate = 0.023598
03-12-2018 12:30:09 AM - INFO -  Learning rates = [0.00295, 0.0059, 0.011799, 0.023598] 

03-12-2018 12:30:09 AM - INFO -  --- Batch: 8 | Img size: 64 --- 
 
03-12-2018 12:30:09 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 12:30:09 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 12:59:32 AM - INFO - 48, 0.266833, 0.849778, 0.499129, 0.477177, 0.694667
03-12-2018 01:00:07 AM - INFO - 49, 0.264305, 0.84955, 0.481075, 0.470129, 0.705083
03-12-2018 01:00:43 AM - INFO - 50, 0.268157, 0.847205, 0.502395, 0.475272, 0.698
03-12-2018 01:01:19 AM - INFO - 51, 0.26747, 0.845619, 0.467129, 0.482177, 0.703417
03-12-2018 01:01:55 AM - INFO - 52, 0.26262, 0.848196, 0.488041, 0.485701, 0.722167
03-12-2018 01:02:31 AM - INFO - 53, 0.264263, 0.853109, 0.50034, 0.475891, 0.702167
03-12-2018 01:03:07 AM - INFO - 54, 0.268393, 0.847771, 0.500327, 0.488939, 0.717583
03-12-2018 01:03:43 AM - INFO - 55, 0.273159, 0.850542, 0.491592, 0.470599, 0.715083
03-12-2018 01:04:19 AM - INFO - 56, 0.271555, 0.845433, 0.488531, 0.493034, 0.703417
03-12-2018 01:04:54 AM - INFO - 57, 0.269865, 0.846219, 0.485973, 0.469272, 0.706333
03-12-2018 01:05:30 AM - INFO - 58, 0.259464, 0.851663, 0.490721, 0.483415, 0.708833
03-12-2018 01:06:06 AM - INFO - 59, 0.262221, 0.851582, 0.48932, 0.486653, 0.69925
03-12-2018 01:06:42 AM - INFO - 60, 0.262214, 0.855854, 0.498816, 0.480748, 0.710083
03-12-2018 01:07:18 AM - INFO - 61, 0.261076, 0.848124, 0.487102, 0.479891, 0.716333
03-12-2018 01:07:53 AM - INFO - 62, 0.26136, 0.851029, 0.501374, 0.488272, 0.708417
03-12-2018 01:08:29 AM - INFO - 63, 0.272184, 0.845039, 0.481388, 0.472218, 0.716333
03-12-2018 01:09:05 AM - INFO - 64, 0.272388, 0.842764, 0.493, 0.482707, 0.688
03-12-2018 01:09:41 AM - INFO - 65, 0.267069, 0.848003, 0.509864, 0.469456, 0.702583
03-12-2018 01:10:16 AM - INFO - 66, 0.273687, 0.850171, 0.493048, 0.483878, 0.706333
03-12-2018 01:10:52 AM - INFO - 67, 0.27052, 0.841025, 0.491816, 0.474367, 0.67925
03-12-2018 01:11:27 AM - INFO - 68, 0.264161, 0.853789, 0.490122, 0.469782, 0.69175
03-12-2018 01:12:03 AM - INFO - 69, 0.278757, 0.844582, 0.493014, 0.481184, 0.700083
03-12-2018 01:12:39 AM - INFO - 70, 0.270689, 0.845553, 0.525429, 0.505327, 0.696333
03-12-2018 01:13:15 AM - INFO - *** Earlystopping! ***
03-12-2018 01:13:15 AM - INFO - [ Saved model: best_resnet18_imgsize64_batch8_freeze.h5 ] 
03-12-2018 01:13:15 AM - INFO - [ Results: [0.25946] 0.8516631462530978 0.4907210884353742 0.48341496598639466 0.7088333333333334 ]

03-12-2018 01:13:15 AM - INFO -  --- Type: UNFREEZE --- 
03-12-2018 01:13:15 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 01:13:55 AM - INFO - 0, 0.396417, 0.754286, 0.344034, 0.346197, 0.526
03-12-2018 01:14:34 AM - INFO - 1, 0.39108, 0.764955, 0.346429, 0.338884, 0.558917
03-12-2018 01:15:15 AM - INFO - 2, 0.372206, 0.784119, 0.357354, 0.360299, 0.57325
03-12-2018 01:15:56 AM - INFO - 3, 0.362591, 0.777887, 0.37298, 0.353027, 0.559167
03-12-2018 01:16:36 AM - INFO - 4, 0.346737, 0.794958, 0.38583, 0.37332, 0.595
03-12-2018 01:17:17 AM - INFO - 5, 0.327066, 0.798034, 0.409415, 0.409932, 0.618917
03-12-2018 01:17:58 AM - INFO - 6, 0.330469, 0.808807, 0.405973, 0.412027, 0.6035
03-12-2018 01:18:38 AM - INFO - 7, 0.368957, 0.767569, 0.394082, 0.41015, 0.556
03-12-2018 01:19:18 AM - INFO - 8, 0.340846, 0.795654, 0.406449, 0.359782, 0.586917
03-12-2018 01:19:59 AM - INFO - 9, 0.36548, 0.787902, 0.39449, 0.377891, 0.577083
03-12-2018 01:20:39 AM - INFO - 10, 0.33413, 0.790947, 0.387327, 0.422898, 0.62675
03-12-2018 01:21:19 AM - INFO - 11, 0.424715, 0.762241, 0.412762, 0.328878, 0.454583
03-12-2018 01:21:59 AM - INFO - 12, 0.293923, 0.810905, 0.440177, 0.436463, 0.651333
03-12-2018 01:22:40 AM - INFO - 13, 0.289824, 0.819004, 0.431517, 0.426993, 0.663417
03-12-2018 01:23:20 AM - INFO - 14, 0.289131, 0.822852, 0.435408, 0.433469, 0.670083
03-12-2018 01:24:01 AM - INFO - 15, 0.364181, 0.766208, 0.362449, 0.422789, 0.574333
03-12-2018 01:24:41 AM - INFO - 16, 0.312617, 0.793258, 0.426517, 0.434415, 0.63925
03-12-2018 01:25:21 AM - INFO - 17, 0.539995, 0.696935, 0.370578, 0.267646, 0.313
03-12-2018 01:26:01 AM - INFO - 18, 0.32387, 0.786878, 0.410612, 0.451592, 0.638083
03-12-2018 01:26:42 AM - INFO - 19, 0.313154, 0.78607, 0.442177, 0.440218, 0.69
03-12-2018 01:27:22 AM - INFO - 20, 0.34941, 0.78074, 0.494367, 0.493633, 0.616167
03-12-2018 01:28:02 AM - INFO - 21, 0.275522, 0.841364, 0.47385, 0.47517, 0.707667
03-12-2018 01:28:42 AM - INFO - 22, 0.275102, 0.823767, 0.518367, 0.505224, 0.73675
03-12-2018 01:29:23 AM - INFO - 23, 0.278584, 0.815967, 0.528789, 0.515034, 0.712583
03-12-2018 01:30:04 AM - INFO - 24, 0.253703, 0.840319, 0.480612, 0.470599, 0.721333
03-12-2018 01:30:44 AM - INFO - 25, 0.252362, 0.841608, 0.508463, 0.499034, 0.740083
03-12-2018 01:31:25 AM - INFO - 26, 0.257147, 0.841061, 0.473605, 0.47151, 0.720917
03-12-2018 01:32:05 AM - INFO - 27, 0.246949, 0.861215, 0.52385, 0.501741, 0.740167
03-12-2018 01:32:46 AM - INFO - 28, 0.245361, 0.863318, 0.50951, 0.490939, 0.735083
03-12-2018 01:33:26 AM - INFO - 29, 0.253319, 0.85852, 0.482184, 0.475374, 0.727667
03-12-2018 01:34:06 AM - INFO - 30, 0.24655, 0.863175, 0.492653, 0.476463, 0.729333
03-12-2018 01:34:46 AM - INFO - 31, 0.30996, 0.803517, 0.507837, 0.484367, 0.66625
03-12-2018 01:35:27 AM - INFO - 32, 0.455919, 0.764263, 0.463673, 0.450014, 0.546583
03-12-2018 01:36:07 AM - INFO - 33, 0.279695, 0.823543, 0.512762, 0.473156, 0.722833
03-12-2018 01:36:48 AM - INFO - 34, 0.285405, 0.823422, 0.449891, 0.445605, 0.6905
03-12-2018 01:37:28 AM - INFO - 35, 0.26177, 0.830922, 0.442769, 0.470993, 0.713417
03-12-2018 01:38:08 AM - INFO - 36, 0.260311, 0.837084, 0.512408, 0.500925, 0.73175
03-12-2018 01:38:49 AM - INFO - 37, 0.294571, 0.810662, 0.460218, 0.46283, 0.69225
03-12-2018 01:39:28 AM - INFO - 38, 0.261953, 0.845809, 0.525605, 0.487537, 0.713333
03-12-2018 01:40:09 AM - INFO - 39, 0.281223, 0.804484, 0.492224, 0.509701, 0.746333
03-12-2018 01:40:49 AM - INFO - 40, 0.257727, 0.825643, 0.523565, 0.512844, 0.75675
03-12-2018 01:41:29 AM - INFO - *** Earlystopping! ***
03-12-2018 01:41:29 AM - INFO - [ Saved model: best_resnet18_imgsize64_batch8_unfreeze.h5 ]
03-12-2018 01:41:29 AM - INFO - [ Results: [0.24536] 0.8633182570353622 0.5095102040816326 0.4909387755102042 0.7350833333333334 ]

03-12-2018 01:41:29 AM - INFO -  --- Batch: 8 | Img size: 128 --- 
 
03-12-2018 01:41:29 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 01:41:29 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 01:42:06 AM - INFO - 0, 0.342617, 0.787299, 0.396728, 0.418551, 0.619667
03-12-2018 01:42:43 AM - INFO - 1, 0.326863, 0.80539, 0.412197, 0.430986, 0.63425
03-12-2018 01:43:21 AM - INFO - 2, 0.324557, 0.801001, 0.391211, 0.441701, 0.637167
03-12-2018 01:43:58 AM - INFO - 3, 0.312493, 0.803377, 0.416442, 0.436224, 0.647583
03-12-2018 01:44:36 AM - INFO - 4, 0.312671, 0.80615, 0.441653, 0.437408, 0.638
03-12-2018 01:45:13 AM - INFO - 5, 0.313864, 0.809226, 0.424143, 0.448986, 0.652167
03-12-2018 01:45:51 AM - INFO - 6, 0.312988, 0.806951, 0.429041, 0.425503, 0.63675
03-12-2018 01:46:27 AM - INFO - 7, 0.305248, 0.808337, 0.444014, 0.443313, 0.649667
03-12-2018 01:47:05 AM - INFO - 8, 0.302218, 0.813426, 0.433823, 0.455653, 0.66175
03-12-2018 01:47:42 AM - INFO - 9, 0.29861, 0.814377, 0.435905, 0.447463, 0.6655
03-12-2018 01:48:20 AM - INFO - 10, 0.295267, 0.810999, 0.45015, 0.453748, 0.668
03-12-2018 01:48:57 AM - INFO - 11, 0.293854, 0.813964, 0.448272, 0.468558, 0.677583
03-12-2018 01:49:34 AM - INFO - 12, 0.296511, 0.814298, 0.437429, 0.460605, 0.6705
03-12-2018 01:50:11 AM - INFO - 13, 0.293869, 0.814667, 0.465524, 0.460361, 0.668417
03-12-2018 01:50:47 AM - INFO - 14, 0.296504, 0.812174, 0.45615, 0.467367, 0.666333
03-12-2018 01:51:24 AM - INFO - 15, 0.293814, 0.818164, 0.440599, 0.454884, 0.683417
03-12-2018 01:52:02 AM - INFO - 16, 0.28672, 0.818613, 0.456027, 0.447925, 0.67425
03-12-2018 01:52:39 AM - INFO - 17, 0.290756, 0.819369, 0.463333, 0.455884, 0.65675
03-12-2018 01:53:16 AM - INFO - 18, 0.285406, 0.817857, 0.452299, 0.450456, 0.665083
