,accuracy,clf,f1,fit_time,fold,precision,recall,recall_macro,roc_auc,score_time
0,0.8623853211009175,RFC,0.0625,0.6922228336334229,0,0.25,0.03571428571428571,0.5099624060150376,0.7395676691729323,0.6229174137115479
1,0.8715596330275229,RFC,0.17647058823529413,0.7041292190551758,1,0.5,0.10714285714285714,0.5456766917293233,0.8195488721804511,0.6233491897583008
2,0.8807339449541285,RFC,0.1875,0.7056493759155273,2,0.75,0.10714285714285714,0.5509398496240602,0.80046992481203,0.6247479915618896
3,0.8623853211009175,RFC,0.0625,0.5953888893127441,3,0.25,0.03571428571428571,0.5099624060150376,0.7784774436090226,0.6233527660369873
4,0.8761467889908257,RFC,0.0689655172413793,0.5956728458404541,4,1.0,0.03571428571428571,0.5178571428571429,0.7609962406015037,0.623892068862915
5,0.8807339449541285,RFC,0.1875,0.7940950393676758,5,0.75,0.10714285714285714,0.5509398496240602,0.8026315789473684,0.6320273876190186
6,0.8755760368663594,RFC,0.0689655172413793,0.798879861831665,6,1.0,0.03571428571428571,0.5178571428571429,0.839191232048375,0.6209108829498291
7,0.8709677419354839,RFC,0.125,0.7942318916320801,7,0.5,0.07142857142857142,0.5304232804232805,0.7466931216931216,0.6209707260131836
8,0.875,RFC,0.12903225806451613,0.7944936752319336,8,0.5,0.07407407407407407,0.5317460317460317,0.7711150303742896,0.6179356575012207
9,0.8703703703703703,RFC,0.0,0.7967424392700195,9,0.0,0.0,0.4973544973544973,0.7641583382324122,0.6174187660217285
10,0.7889908256880734,DTC,0.20689655172413796,1.787294864654541,0,0.2,0.21428571428571427,0.543984962406015,0.543984962406015,0.006577014923095703
11,0.7889908256880734,DTC,0.28125000000000006,1.6572966575622559,1,0.25,0.32142857142857145,0.5896616541353383,0.5896616541353383,0.0063495635986328125
12,0.8165137614678899,DTC,0.2592592592592593,1.6749467849731445,2,0.2692307692307692,0.25,0.575,0.575,0.0065004825592041016
13,0.7889908256880734,DTC,0.20689655172413796,1.7820863723754883,3,0.2,0.21428571428571427,0.543984962406015,0.543984962406015,0.0065975189208984375
14,0.7935779816513762,DTC,0.23728813559322032,2.048966884613037,4,0.22580645161290322,0.25,0.5618421052631579,0.5618421052631579,0.006511688232421875
15,0.8165137614678899,DTC,0.2857142857142857,1.680612564086914,5,0.2857142857142857,0.2857142857142857,0.5902255639097744,0.5902255639097744,0.0064220428466796875
16,0.7926267281105991,DTC,0.2857142857142857,1.681030511856079,6,0.2571428571428571,0.32142857142857145,0.591931216931217,0.5919312169312169,0.006699562072753906
17,0.7557603686635944,DTC,0.2318840579710145,1.6587977409362793,7,0.1951219512195122,0.2857142857142857,0.5555555555555556,0.5555555555555555,0.0065310001373291016
18,0.8148148148148148,DTC,0.3939393939393939,1.4971566200256348,8,0.3333333333333333,0.48148148148148145,0.671957671957672,0.6719576719576719,0.006658315658569336
19,0.8055555555555556,DTC,0.27586206896551724,1.6345548629760742,9,0.25806451612903225,0.2962962962962963,0.5873015873015872,0.5873015873015873,0.007189750671386719
