,accuracy,clf,f1,fit_time,fold,precision,recall,recall_macro,roc_auc,score_time
0,0.8394495412844036,RFC,0.18604651162790695,0.7022833824157715,0,0.5,0.11428571428571428,0.5462138953942233,0.7929742388758784,0.6204252243041992
1,0.8394495412844036,RFC,0.10256410256410256,0.9064524173736572,1,0.5,0.05714285714285714,0.5231069476971116,0.7678376268540202,0.6278049945831299
2,0.8302752293577982,RFC,0.05128205128205128,0.8996496200561523,2,0.25,0.02857142857142857,0.5060889929742388,0.74192037470726,0.6184778213500977
3,0.8486238532110092,RFC,0.19512195121951217,0.9019224643707275,3,0.6666666666666666,0.11428571428571428,0.5516783762685402,0.7542544886807182,0.6177961826324463
4,0.8387096774193549,RFC,0.10256410256410256,0.8978109359741211,4,0.5,0.05714285714285714,0.5230769230769231,0.7645211930926217,0.6181600093841553
5,0.8571428571428571,RFC,0.2439024390243902,0.8983571529388428,5,0.8333333333333334,0.14285714285714285,0.5686813186813187,0.7481946624803768,0.6173000335693359
6,0.847926267281106,RFC,0.15384615384615383,0.8974282741546631,6,0.75,0.08571428571428572,0.5401098901098901,0.7248037676609106,0.617835283279419
7,0.8341013824884793,RFC,0.14285714285714285,0.8981156349182129,7,0.42857142857142855,0.08571428571428572,0.5318681318681319,0.7638932496075354,0.6177797317504883
8,0.8433179723502304,RFC,0.10526315789473684,0.8970537185668945,8,0.6666666666666666,0.05714285714285714,0.5258241758241758,0.7804552590266876,0.6176581382751465
9,0.8571428571428571,RFC,0.20512820512820512,0.8984682559967041,9,1.0,0.11428571428571428,0.5571428571428572,0.8832810047095762,0.6181640625
10,0.7293577981651376,DTC,0.1917808219178082,1.8919141292572021,0,0.18421052631578946,0.2,0.5153005464480874,0.5153005464480874,0.006493568420410156
11,0.7568807339449541,DTC,0.20895522388059704,1.7563061714172363,1,0.21875,0.2,0.5316939890710383,0.5316939890710383,0.0065038204193115234
12,0.7431192660550459,DTC,0.3170731707317073,2.065249443054199,2,0.2765957446808511,0.37142857142857144,0.5928181108508978,0.5928181108508978,0.00661015510559082
13,0.8027522935779816,DTC,0.39436619718309857,2.0160794258117676,3,0.3888888888888889,0.4,0.6398907103825137,0.6398907103825136,0.0066967010498046875
14,0.7649769585253456,DTC,0.28169014084507044,1.8908178806304932,4,0.2777777777777778,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.00664210319519043
15,0.7419354838709677,DTC,0.1764705882352941,2.0051803588867188,5,0.18181818181818182,0.17142857142857143,0.5115384615384615,0.5115384615384616,0.006822347640991211
16,0.7004608294930875,DTC,0.23529411764705882,1.8786449432373047,6,0.2,0.2857142857142857,0.532967032967033,0.5329670329670328,0.006405353546142578
17,0.8110599078341014,DTC,0.40579710144927533,1.8095495700836182,7,0.4117647058823529,0.4,0.645054945054945,0.645054945054945,0.006571054458618164
18,0.783410138248848,DTC,0.3733333333333333,2.0400805473327637,8,0.35,0.4,0.6285714285714286,0.6285714285714286,0.006516218185424805
19,0.7972350230414746,DTC,0.3529411764705882,1.7714481353759766,9,0.36363636363636365,0.34285714285714286,0.6137362637362638,0.6137362637362638,0.006761074066162109
