,accuracy,clf,f1,fit_time,fold,precision,recall,recall_macro,roc_auc,score_time
0,0.7660550458715596,RFC,0.8222996515679443,0.6953897476196289,0,0.7712418300653595,0.8805970149253731,0.7319651741293532,0.835554371002132,0.6236956119537354
1,0.7935779816513762,RFC,0.8351648351648351,0.9003291130065918,1,0.8201438848920863,0.8507462686567164,0.7765636105188344,0.8607853589196873,0.6189830303192139
2,0.7752293577981652,RFC,0.8243727598566308,0.8992722034454346,2,0.7931034482758621,0.8582089552238806,0.7505330490405118,0.8642501776830135,0.6180465221405029
3,0.7660550458715596,RFC,0.8172043010752688,0.8984849452972412,3,0.7862068965517242,0.8507462686567164,0.7408493248045487,0.8230277185501066,0.6184496879577637
4,0.7981651376146789,RFC,0.841726618705036,0.9008426666259766,4,0.8125,0.8731343283582089,0.7758528784648188,0.8822405828002843,0.6178474426269531
5,0.7385321100917431,RFC,0.7942238267148015,0.8966681957244873,5,0.7692307692307693,0.8208955223880597,0.7140191897654584,0.7703891257995736,0.6173801422119141
6,0.783410138248848,RFC,0.8315412186379928,0.9051387310028076,6,0.8,0.8656716417910447,0.7581370257147995,0.8686387340406402,0.6174666881561279
7,0.7926267281105991,RFC,0.8398576512455515,0.8995225429534912,7,0.8027210884353742,0.8805970149253731,0.7655997122819637,0.868683689983816,0.6172399520874023
8,0.7870370370370371,RFC,0.8308823529411764,0.8976218700408936,8,0.8129496402877698,0.849624060150376,0.7681855240510915,0.8546969834224114,0.6175503730773926
9,0.7546296296296297,RFC,0.8153310104529616,0.8970389366149902,9,0.7597402597402597,0.8796992481203008,0.7169580577950901,0.8010689374037503,0.6176431179046631
10,0.6009174311926605,DTC,0.6666666666666666,2.048839569091797,0,0.6850393700787402,0.6492537313432836,0.5865316275764036,0.5865316275764036,0.006559848785400391
11,0.7064220183486238,DTC,0.7647058823529411,1.953002691268921,1,0.7536231884057971,0.7761194029850746,0.685678749111585,0.6856787491115849,0.0064046382904052734
12,0.6880733944954128,DTC,0.7384615384615385,1.834608554840088,2,0.7619047619047619,0.7164179104477612,0.679637526652452,0.6796375266524519,0.0064198970794677734
13,0.6605504587155964,DTC,0.7175572519083969,2.3046576976776123,3,0.734375,0.7014925373134329,0.6483653162757641,0.6483653162757641,0.006316661834716797
14,0.6651376146788991,DTC,0.7265917602996254,1.8875095844268799,4,0.7293233082706767,0.7238805970149254,0.6476545842217484,0.6476545842217484,0.006569385528564453
15,0.6743119266055045,DTC,0.7320754716981132,1.9046978950500488,5,0.7404580152671756,0.7238805970149254,0.6595593461265103,0.6595593461265103,0.006879091262817383
16,0.6359447004608295,DTC,0.6973180076628352,2.0142159461975098,6,0.7165354330708661,0.6791044776119403,0.6226847689264521,0.6226847689264521,0.00676274299621582
17,0.6774193548387096,DTC,0.7328244274809161,2.181885242462158,7,0.75,0.7164179104477612,0.6654378708865312,0.6654378708865312,0.006971836090087891
18,0.7314814814814815,DTC,0.7786259541984734,2.1473031044006348,8,0.7906976744186046,0.7669172932330827,0.7208080442069027,0.7208080442069027,0.006908416748046875
19,0.6712962962962963,DTC,0.7380073800738007,2.004812002182007,9,0.7246376811594203,0.7518796992481203,0.6470241869734576,0.6470241869734579,0.006588459014892578
