classifier,f2,macro_average_precision,macro_average_recall,macro_mcc,hamming_score,exact_match_ratio,hamming_loss_score,macro_f1
SVM,0.6285503988406098,0.5905631208085963,0.6633803470329881,0.36359996791454285,0.4094748342374925,0.020569620253164556,16.237341772151897,0.5247820924307968
NB,0.6399954559136881,0.48002839564621763,0.6894075928582107,0.3130983484190923,0.430715039180229,0.04588607594936709,15.373417721518988,0.5288996232067044
RF,0.757590802906724,0.8307039028586145,0.6011870904513691,0.5956537063227437,0.7089662447257384,0.4541139240506329,5.4493670886075956,0.6580148258896626
KNN,0.6706466024826329,0.7636399291353256,0.5164285294373193,0.4398846619732741,0.5958333333333333,0.314873417721519,8.406645569620252,0.5457665873393419
CNN: Cartesian,0.8683737274670527,0.8792867678881109,0.857821901367583,0.8145010998842438,0.8326740506329114,0.6534810126582279,3.079113924050633,0.8661189620242241
CNN: Polar-min,0.8602049156480394,0.8759159859430289,0.8352353402893887,0.7981213917530008,0.8278217299578058,0.6281645569620253,3.212025316455696,0.8523328343660133
CNN: Polar-max,0.8586678006648026,0.894445609413466,0.8383691498553623,0.8102877992338386,0.826054852320675,0.6487341772151899,3.1123417721518987,0.862393099304519
