,classifier,precision,recall,only_fp,accuracy,roc_auc,recall_macro,f1
0,SVM,"[0.8125, 0.734966592427617, 0.44, 0.07627118644067797, 0.7894736842105263, 0.38669064748201437, 0.8940397350993378]","[0.30952380952380953, 0.8483290488431876, 0.25, 0.9782608695652174, 0.3977272727272727, 0.9598214285714286, 0.9]","[87, 59, 33, 1, 159, 9, 30]","[0.8481012658227848, 0.7183544303797469, 0.9256329113924051, 0.1360759493670886, 0.7041139240506329, 0.4462025316455696, 0.9018987341772152]","[0.6458686241294936, 0.6793085573434046, 0.613095238095238, 0.5241133699361924, 0.6608201581027667, 0.5620185574229691, 0.9018072289156627]","[0.6458686241294938, 0.6793085573434046, 0.6130952380952381, 0.5241133699361923, 0.6608201581027668, 0.5620185574229692, 0.9018072289156627]","[0.4482758620689655, 0.7875894988066826, 0.31884057971014496, 0.14150943396226418, 0.5289672544080605, 0.5512820512820512, 0.8970099667774086]"
1,GaussianNB,"[0.45614035087719296, 0.6612903225806451, 0.09736842105263158, 0.1721311475409836, 0.5310734463276836, 0.5465116279069767, 0.89568345323741]","[0.6190476190476191, 0.7377892030848329, 0.8409090909090909, 0.45652173913043476, 0.7121212121212122, 0.6294642857142857, 0.83]","[48, 102, 7, 25, 76, 83, 51]","[0.7768987341772152, 0.6060126582278481, 0.4462025316455696, 0.8006329113924051, 0.6170886075949367, 0.6835443037974683, 0.8734177215189873]","[0.7176265763222285, 0.5664254657399472, 0.6287878787878788, 0.642083395162487, 0.6305171277997366, 0.6713497899159664, 0.8713253012048193]","[0.7176265763222285, 0.5664254657399472, 0.6287878787878788, 0.642083395162487, 0.6305171277997366, 0.6713497899159664, 0.8713253012048192]","[0.5252525252525252, 0.6974483596597812, 0.17452830188679244, 0.25, 0.6084142394822006, 0.5850622406639004, 0.8615916955017301]"
2,RF,"[0.9146341463414634, 0.8676470588235294, 0.5, 1.0, 0.8163265306122449, 0.797752808988764, 0.9185667752442996]","[0.5952380952380952, 0.910025706940874, 0.045454545454545456, 0.32608695652173914, 0.7575757575757576, 0.6339285714285714, 0.94]","[51, 35, 42, 31, 64, 82, 18]","[0.9082278481012658, 0.8591772151898734, 0.930379746835443, 0.9509493670886076, 0.8275316455696202, 0.8132911392405063, 0.9319620253164557]","[0.7907020515716168, 0.8439017423593259, 0.5210265924551639, 0.6630434782608696, 0.8176465744400527, 0.7728466386554621, 0.9323493975903614]","[0.7907020515716168, 0.8439017423593259, 0.5210265924551639, 0.6630434782608696, 0.8176465744400527, 0.7728466386554622, 0.9323493975903614]","[0.7211538461538461, 0.8883312421580929, 0.08333333333333334, 0.4918032786885246, 0.7858546168958743, 0.7064676616915423, 0.929159802306425]"
3,KNN,"[0.8, 0.7878787878787878, 0.6, 1.0, 0.6183431952662722, 0.686046511627907, 0.8532110091743119]","[0.47619047619047616, 0.7352185089974294, 0.06818181818181818, 0.08695652173913043, 0.7916666666666666, 0.5267857142857143, 0.93]","[66, 103, 41, 42, 55, 106, 21]","[0.8718354430379747, 0.7151898734177216, 0.9319620253164557, 0.9335443037974683, 0.7088607594936709, 0.7468354430379747, 0.8908227848101266]","[0.7232731037078863, 0.7091730405069451, 0.5323902288188002, 0.5434782608695652, 0.7205615942028984, 0.6972163865546219, 0.892710843373494]","[0.7232731037078863, 0.7091730405069452, 0.5323902288188003, 0.5434782608695652, 0.7205615942028986, 0.6972163865546219, 0.892710843373494]","[0.5970149253731344, 0.7606382978723404, 0.1224489795918367, 0.16, 0.6943521594684385, 0.5959595959595959, 0.8899521531100477]"
4,FastAI - Cartesian,"[0.9090909090909091, 0.9473684210526315, 0.7428571428571429, 0.9183673469387755, 0.8982456140350877, 0.8325358851674641, 0.9065420560747663]","[0.7936507936507936, 0.9254498714652957, 0.5909090909090909, 0.9782608695652174, 0.9696969696969697, 0.7767857142857143, 0.97]","[26, 29, 18, 1, 8, 50, 9]","[0.9430379746835443, 0.9224683544303798, 0.9572784810126582, 0.9920886075949367, 0.9414556962025317, 0.865506329113924, 0.9382911392405063]","[0.8869439739004956, 0.9215726723581622, 0.7878014842300556, 0.9857174654993323, 0.9454463109354415, 0.845500700280112, 0.9398192771084337]","[0.8869439739004956, 0.9215726723581623, 0.7878014842300557, 0.9857174654993323, 0.9454463109354414, 0.845500700280112, 0.9398192771084337]","[0.847457627118644, 0.9362808842652794, 0.6582278481012659, 0.9473684210526316, 0.9326047358834244, 0.8036951501154734, 0.9371980676328503]"
5,FastAI - Polar - min,"[0.8818181818181818, 0.941952506596306, 0.7096774193548387, 0.9347826086956522, 0.9233576642335767, 0.8430493273542601, 0.896774193548387]","[0.7698412698412699, 0.9177377892030848, 0.5, 0.9347826086956522, 0.9583333333333334, 0.8392857142857143, 0.9266666666666666]","[29, 32, 22, 3, 11, 36, 22]","[0.9335443037974683, 0.9145569620253164, 0.9509493670886076, 0.990506329113924, 0.9493670886075949, 0.8876582278481012, 0.9145569620253164]","[0.8720747851182633, 0.9136014048896083, 0.7423469387755103, 0.9648315773853688, 0.9506340579710146, 0.876750700280112, 0.9151405622489961]","[0.8720747851182634, 0.9136014048896082, 0.7423469387755102, 0.9648315773853688, 0.9506340579710145, 0.876750700280112, 0.915140562248996]","[0.8220338983050849, 0.9296874999999999, 0.5866666666666667, 0.9347826086956522, 0.9405204460966543, 0.8411633109619687, 0.9114754098360656]"
6,FastAI - Polar - max,"[0.8979591836734694, 0.9336870026525199, 0.8484848484848485, 0.8723404255319149, 0.9440298507462687, 0.8430493273542601, 0.9215686274509803]","[0.6984126984126984, 0.9048843187660668, 0.6363636363636364, 0.8913043478260869, 0.9583333333333334, 0.8392857142857143, 0.94]","[38, 37, 16, 5, 11, 36, 18]","[0.9240506329113924, 0.9018987341772152, 0.9667721518987342, 0.9825949367088608, 0.9588607594936709, 0.8876582278481012, 0.9335443037974683]","[0.839324926281448, 0.9010018301649264, 0.813930117501546, 0.9405327199881287, 0.958786231884058, 0.876750700280112, 0.933855421686747]","[0.839324926281448, 0.9010018301649264, 0.8139301175015461, 0.9405327199881288, 0.958786231884058, 0.876750700280112, 0.933855421686747]","[0.7857142857142857, 0.9190600522193211, 0.7272727272727273, 0.8817204301075269, 0.9511278195488723, 0.8411633109619687, 0.9306930693069307]"
