03-12-2018 12:10:31 AM - INFO -  [ ------ EXPERIMENT: RESNET_041218 ------ ] 

03-12-2018 12:10:31 AM - INFO -  --- PARAMETERS: --- 
03-12-2018 12:10:31 AM - INFO - Predefined metrics: [val_loss], f2, average_precision, average_recall, hamming_score
03-12-2018 12:10:31 AM - INFO - Predefined architecutres: resnet18, resnet34
03-12-2018 12:10:31 AM - INFO - Predefined batch sizes: 8, 16
03-12-2018 12:10:31 AM - INFO - Predefined image sizes: 64, 128, 256, 512
03-12-2018 12:10:31 AM - INFO - Dropout: 0.5
03-12-2018 12:10:31 AM - INFO - Earlystopping after: 12 epochs.
03-12-2018 12:10:31 AM - INFO - Log every 1 epochs.
03-12-2018 12:10:31 AM - INFO - GPU: 1 | Available: 4 

03-12-2018 12:10:31 AM - INFO -     ----- *** RESNET18 *** ----- 

03-12-2018 12:11:08 AM - INFO -  Learning rate = 0.025021
03-12-2018 12:11:08 AM - INFO -  Learning rates = [0.003128, 0.006255, 0.012511, 0.025021] 

03-12-2018 12:11:08 AM - INFO -  --- Batch: 8 | Img size: 64 --- 
 
03-12-2018 12:11:08 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 12:11:08 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 12:41:34 AM - INFO - 48, 0.288991, 0.831341, 0.485068, 0.487088, 0.674667
03-12-2018 12:42:11 AM - INFO - 49, 0.288935, 0.830007, 0.470218, 0.466503, 0.666333
03-12-2018 12:42:49 AM - INFO - 50, 0.286587, 0.832357, 0.45251, 0.44566, 0.653833
03-12-2018 12:43:28 AM - INFO - 51, 0.283804, 0.830042, 0.456939, 0.471932, 0.66675
03-12-2018 12:44:06 AM - INFO - 52, 0.282766, 0.828629, 0.466891, 0.468612, 0.663
03-12-2018 12:44:44 AM - INFO - 53, 0.287374, 0.833723, 0.461939, 0.470041, 0.658833
03-12-2018 12:45:22 AM - INFO - 54, 0.286125, 0.833568, 0.462034, 0.470422, 0.66175
03-12-2018 12:46:00 AM - INFO - 55, 0.287943, 0.831054, 0.461408, 0.452231, 0.655083
03-12-2018 12:46:38 AM - INFO - 56, 0.28823, 0.830321, 0.463184, 0.459088, 0.650083
03-12-2018 12:47:15 AM - INFO - 57, 0.290436, 0.825146, 0.449408, 0.474803, 0.670917
03-12-2018 12:47:54 AM - INFO - 58, 0.288217, 0.832656, 0.470517, 0.463741, 0.6605
03-12-2018 12:48:31 AM - INFO - 59, 0.289193, 0.832474, 0.46919, 0.454803, 0.649667
03-12-2018 12:49:09 AM - INFO - 60, 0.282409, 0.832919, 0.469211, 0.465497, 0.668417
03-12-2018 12:49:47 AM - INFO - 61, 0.288103, 0.827634, 0.470592, 0.480558, 0.679667
03-12-2018 12:50:25 AM - INFO - 62, 0.287342, 0.832477, 0.467082, 0.474939, 0.6755
03-12-2018 12:51:02 AM - INFO - 63, 0.286838, 0.82854, 0.481973, 0.47102, 0.667167
03-12-2018 12:51:40 AM - INFO - 64, 0.288733, 0.829345, 0.454769, 0.488735, 0.679
03-12-2018 12:52:18 AM - INFO - 65, 0.284072, 0.829516, 0.489776, 0.494694, 0.675083
03-12-2018 12:52:56 AM - INFO - 66, 0.29034, 0.83228, 0.492429, 0.481374, 0.670083
03-12-2018 12:53:33 AM - INFO - 67, 0.29214, 0.830175, 0.458898, 0.464599, 0.658417
03-12-2018 12:54:11 AM - INFO - 68, 0.283825, 0.831416, 0.473844, 0.477605, 0.661333
03-12-2018 12:54:49 AM - INFO - 69, 0.282772, 0.833526, 0.474605, 0.472884, 0.65925
03-12-2018 12:55:27 AM - INFO - 70, 0.284461, 0.836734, 0.470653, 0.471878, 0.675917
03-12-2018 12:56:04 AM - INFO - 71, 0.284858, 0.843604, 0.505429, 0.490408, 0.673417
03-12-2018 12:56:42 AM - INFO - 72, 0.291721, 0.827481, 0.450837, 0.469986, 0.666333
03-12-2018 12:57:20 AM - INFO - *** Earlystopping! ***
03-12-2018 12:57:20 AM - INFO - [ Saved model: best_resnet18_imgsize64_batch8_freeze.h5 ] 
03-12-2018 12:57:20 AM - INFO - [ Results: [0.28241] 0.832919456811678 0.4692108843537415 0.4654965986394558 0.6684166666666667 ]

03-12-2018 12:57:20 AM - INFO -  --- Type: UNFREEZE --- 
03-12-2018 12:57:20 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 12:58:03 AM - INFO - 0, 0.383214, 0.769683, 0.327735, 0.330075, 0.556333
03-12-2018 12:58:46 AM - INFO - 1, 0.3715, 0.779547, 0.411456, 0.384721, 0.57175
03-12-2018 12:59:28 AM - INFO - 2, 0.347901, 0.787666, 0.365327, 0.390612, 0.607
03-12-2018 01:00:11 AM - INFO - 3, 0.368252, 0.758841, 0.372939, 0.386993, 0.587167
03-12-2018 01:00:54 AM - INFO - 4, 0.347404, 0.776686, 0.386558, 0.386694, 0.603417
03-12-2018 01:01:37 AM - INFO - 5, 0.330359, 0.802441, 0.412898, 0.393687, 0.61175
03-12-2018 01:02:19 AM - INFO - 6, 0.322277, 0.812096, 0.409279, 0.396789, 0.612583
03-12-2018 01:03:02 AM - INFO - 7, 0.373058, 0.754489, 0.368218, 0.383211, 0.59575
03-12-2018 01:03:45 AM - INFO - 8, 0.332632, 0.795424, 0.421265, 0.387313, 0.6045
03-12-2018 01:04:27 AM - INFO - 9, 0.350838, 0.781672, 0.407102, 0.407932, 0.625917
03-12-2018 01:05:10 AM - INFO - 10, 0.302367, 0.817554, 0.410612, 0.400272, 0.62425
03-12-2018 01:05:53 AM - INFO - 11, 0.429736, 0.688234, 0.438735, 0.436177, 0.534083
03-12-2018 01:06:36 AM - INFO - 12, 0.311318, 0.7967, 0.383837, 0.429796, 0.656333
03-12-2018 01:07:19 AM - INFO - 13, 0.284699, 0.831053, 0.46066, 0.455537, 0.689667
03-12-2018 01:08:01 AM - INFO - 14, 0.283589, 0.827088, 0.450259, 0.450544, 0.692167
03-12-2018 01:08:44 AM - INFO - 15, 0.443815, 0.708153, 0.426476, 0.364503, 0.45475
03-12-2018 01:09:27 AM - INFO - 16, 0.30572, 0.815588, 0.433837, 0.415837, 0.652417
03-12-2018 01:10:10 AM - INFO - 17, 0.304003, 0.815542, 0.46198, 0.445367, 0.642417
03-12-2018 01:10:52 AM - INFO - 18, 0.296914, 0.823519, 0.41766, 0.420503, 0.656333
03-12-2018 01:11:35 AM - INFO - 19, 0.302348, 0.810459, 0.403639, 0.411551, 0.658833
03-12-2018 01:12:18 AM - INFO - 20, 0.274588, 0.818948, 0.457259, 0.471986, 0.712167
03-12-2018 01:13:00 AM - INFO - 21, 0.281382, 0.813127, 0.418517, 0.432259, 0.684667
03-12-2018 01:13:43 AM - INFO - 22, 0.305196, 0.820387, 0.401143, 0.42351, 0.690917
03-12-2018 01:14:25 AM - INFO - 23, 0.279212, 0.833977, 0.44766, 0.436789, 0.682167
03-12-2018 01:15:08 AM - INFO - 24, 0.25869, 0.83167, 0.49566, 0.476925, 0.725083
03-12-2018 01:15:50 AM - INFO - 25, 0.265598, 0.840057, 0.445932, 0.461551, 0.702167
03-12-2018 01:16:32 AM - INFO - 26, 0.297869, 0.81439, 0.483837, 0.454925, 0.68425
03-12-2018 01:17:15 AM - INFO - 27, 0.24761, 0.854065, 0.493088, 0.490109, 0.728417
03-12-2018 01:17:57 AM - INFO - 28, 0.249772, 0.858332, 0.473755, 0.476639, 0.725083
03-12-2018 01:18:40 AM - INFO - 29, 0.251807, 0.850885, 0.492327, 0.486014, 0.728417
03-12-2018 01:19:22 AM - INFO - 30, 0.247817, 0.855939, 0.488612, 0.486014, 0.728
03-12-2018 01:20:04 AM - INFO - 31, 0.267131, 0.830896, 0.476163, 0.499918, 0.729667
03-12-2018 01:20:47 AM - INFO - 32, 0.330477, 0.791304, 0.367803, 0.452422, 0.653417
03-12-2018 01:21:30 AM - INFO - 33, 0.294555, 0.812575, 0.457673, 0.450163, 0.679667
03-12-2018 01:22:11 AM - INFO - 34, 0.274994, 0.843166, 0.459891, 0.461646, 0.713833
03-12-2018 01:22:54 AM - INFO - 35, 0.33675, 0.800076, 0.35717, 0.458463, 0.605917
03-12-2018 01:23:36 AM - INFO - 36, 0.359339, 0.747744, 0.455469, 0.403293, 0.56925
03-12-2018 01:24:18 AM - INFO - 37, 0.379948, 0.737676, 0.445224, 0.427007, 0.564167
03-12-2018 01:25:01 AM - INFO - 38, 0.26137, 0.838321, 0.455238, 0.444299, 0.708833
03-12-2018 01:25:43 AM - INFO - 39, 0.294364, 0.829345, 0.434395, 0.444796, 0.656333
03-12-2018 01:26:25 AM - INFO - *** Earlystopping! ***
03-12-2018 01:26:25 AM - INFO - [ Saved model: best_resnet18_imgsize64_batch8_unfreeze.h5 ]
03-12-2018 01:26:25 AM - INFO - [ Results: [0.24761] 0.8540647163509009 0.4930884353741497 0.490108843537415 0.7284166666666667 ]

03-12-2018 01:26:25 AM - INFO -  --- Batch: 8 | Img size: 128 --- 
 
03-12-2018 01:26:25 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 01:26:25 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 01:27:05 AM - INFO - 0, 0.364708, 0.778995, 0.369279, 0.422034, 0.555917
03-12-2018 01:27:44 AM - INFO - 1, 0.349943, 0.785785, 0.394286, 0.425354, 0.593417
03-12-2018 01:28:23 AM - INFO - 2, 0.352007, 0.791325, 0.392068, 0.392497, 0.56925
03-12-2018 01:29:02 AM - INFO - 3, 0.348419, 0.785212, 0.374755, 0.434796, 0.58425
03-12-2018 01:29:41 AM - INFO - 4, 0.335151, 0.794676, 0.399327, 0.42202, 0.595917
03-12-2018 01:30:21 AM - INFO - 5, 0.332383, 0.794789, 0.397054, 0.422456, 0.596333
03-12-2018 01:31:00 AM - INFO - 6, 0.333249, 0.793433, 0.398694, 0.429789, 0.6155
03-12-2018 01:31:39 AM - INFO - 7, 0.330764, 0.798544, 0.404612, 0.423408, 0.596333
03-12-2018 01:32:18 AM - INFO - 8, 0.326387, 0.800155, 0.406068, 0.427272, 0.608833
