,measure_name,clf,anomaly,mean,std
86,precision,KNN,Diffuse scattering,0.31944298348710115,0.10586231260757605
87,precision,KNN,Ice ring,0.31666666666666665,0.43354695589170383
88,precision,KNN,Loop scattering,0.6549836198911481,0.03256668569496012
89,precision,KNN,Non-uniform detector,0.35887957656378705,0.08392283865525084
90,precision,KNN,Strong background,0.8539240396733078,0.027201633664933056
91,precision,QuadraticDisciminantAnalysis,Artifact,0.0,0.0
92,precision,QuadraticDisciminantAnalysis,Background ring,0.6398618849409108,0.018156897017464833
93,precision,QuadraticDisciminantAnalysis,Diffuse scattering,0.0,0.0
94,precision,QuadraticDisciminantAnalysis,Ice ring,0.0,0.0
95,precision,QuadraticDisciminantAnalysis,Loop scattering,0.46750950522669454,0.03941971844488304
96,precision,QuadraticDisciminantAnalysis,Non-uniform detector,0.17135331490355593,0.038282353874842065
97,precision,QuadraticDisciminantAnalysis,Strong background,0.6019861271921843,0.023386775554887218
98,precision,RFC,Artifact,0.7695694364115417,0.12126944821313235
99,precision,RFC,Background ring,0.7927837817479204,0.020679625668504054
100,precision,RFC,Diffuse scattering,0.55,0.32914029430219166
101,precision,RFC,Ice ring,0.7603571428571427,0.17055742980201768
102,precision,RFC,Loop scattering,0.7346194028983875,0.03510016291558945
103,precision,RFC,Non-uniform detector,0.6095238095238096,0.2177700262399448
104,precision,RFC,Strong background,0.9252494012635026,0.014009064182951756
105,recall,DTC,Artifact,0.5398268398268398,0.08745469740694638
106,recall,DTC,Background ring,0.7205364156660308,0.03864344540517334
107,recall,DTC,Diffuse scattering,0.292063492063492,0.07698468254777913
108,recall,DTC,Ice ring,0.37380952380952376,0.10768528186086188
109,recall,DTC,Loop scattering,0.5926161616161616,0.07166172039413102
110,recall,DTC,Non-uniform detector,0.3057142857142857,0.0904009712387374
111,recall,DTC,Strong background,0.8754545454545456,0.034286227846952864
112,recall,GaussianNB,Artifact,0.743073593073593,0.09642797085090418
113,recall,GaussianNB,Background ring,0.7570755246324766,0.03506407476507019
114,recall,GaussianNB,Diffuse scattering,0.7915343915343915,0.07454811782570271
115,recall,GaussianNB,Ice ring,0.5735930735930735,0.12220867736133433
116,recall,GaussianNB,Loop scattering,0.7323939393939393,0.04130376054133392
117,recall,GaussianNB,Non-uniform detector,0.78,0.07505100306607829
118,recall,GaussianNB,Strong background,0.7658264462809917,0.031632957721817415
119,recall,KNN,Artifact,0.48376623376623373,0.12972273983610827
120,recall,KNN,Background ring,0.7533946807316799,0.031010316602195994
121,recall,KNN,Diffuse scattering,0.17261904761904762,0.06679639519944795
122,recall,KNN,Ice ring,0.03766233766233766,0.05356820965837203
123,recall,KNN,Loop scattering,0.7091515151515151,0.046330338264891836
124,recall,KNN,Non-uniform detector,0.2628571428571428,0.06431216387098715
125,recall,KNN,Strong background,0.9385399449035813,0.02322100538425961
126,recall,QuadraticDisciminantAnalysis,Artifact,0.0,0.0
127,recall,QuadraticDisciminantAnalysis,Background ring,0.7152788688138256,0.04849274810003155
128,recall,QuadraticDisciminantAnalysis,Diffuse scattering,0.0,0.0
129,recall,QuadraticDisciminantAnalysis,Ice ring,0.0,0.0
130,recall,QuadraticDisciminantAnalysis,Loop scattering,0.3833434343434343,0.04383348175563897
131,recall,QuadraticDisciminantAnalysis,Non-uniform detector,0.2885714285714286,0.10728561917439194
132,recall,QuadraticDisciminantAnalysis,Strong background,0.6993801652892562,0.05190369678439633
