,accuracy,clf,f1,fit_time,fold,precision,recall,recall_macro,roc_auc,score_time
0,0.9174311926605505,RFC,0.5000000000000001,0.8978962898254395,0,0.6428571428571429,0.4090909090909091,0.6917903525046383,0.8614332096474954,0.6182379722595215
1,0.9403669724770642,RFC,0.6829268292682926,0.8987233638763428,1,0.7368421052631579,0.6363636363636364,0.8054267161410018,0.8954081632653061,0.6193122863769531
2,0.9403669724770642,RFC,0.6285714285714286,0.9015846252441406,2,0.8461538461538461,0.5,0.7448979591836735,0.8914656771799628,0.6184837818145752
3,0.9128440366972477,RFC,0.4864864864864865,1.0228731632232666,3,0.6,0.4090909090909091,0.6892393320964749,0.8349953617810761,0.6183924674987793
4,0.926605504587156,RFC,0.5555555555555556,0.7996971607208252,4,0.7142857142857143,0.45454545454545453,0.7170686456400742,0.9268320964749536,0.618065357208252
5,0.9311926605504587,RFC,0.5161290322580644,0.9040083885192871,5,0.8888888888888888,0.36363636363636365,0.6792671614100185,0.877435064935065,0.6173534393310547
6,0.9311926605504587,RFC,0.5945945945945945,0.9012777805328369,6,0.7333333333333333,0.5,0.7397959183673469,0.8977272727272727,0.618253231048584
7,0.9398148148148148,RFC,0.6060606060606061,0.8996503353118896,7,0.8333333333333334,0.47619047619047616,0.732967032967033,0.8768009768009768,0.617809534072876
8,0.9768518518518519,RFC,0.8648648648648648,0.897651195526123,8,1.0,0.7619047619047619,0.8809523809523809,0.9492063492063492,0.6169955730438232
9,0.9212962962962963,RFC,0.45161290322580644,0.9071106910705566,9,0.7,0.3333333333333333,0.658974358974359,0.9462759462759464,0.6179490089416504
10,0.908256880733945,DTC,0.5238095238095238,2.454944133758545,0,0.55,0.5,0.7270408163265306,0.7270408163265307,0.006612539291381836
11,0.8899082568807339,DTC,0.52,1.894545555114746,1,0.4642857142857143,0.5909090909090909,0.7571892393320965,0.7571892393320965,0.006594419479370117
12,0.8669724770642202,DTC,0.4313725490196078,2.4720709323883057,2,0.3793103448275862,0.5,0.7040816326530612,0.7040816326530612,0.006694316864013672
13,0.8807339449541285,DTC,0.5,2.3112244606018066,3,0.43333333333333335,0.5909090909090909,0.75208719851577,0.7520871985157699,0.006629467010498047
14,0.8807339449541285,DTC,0.43478260869565216,1.9487898349761963,4,0.4166666666666667,0.45454545454545453,0.6915584415584416,0.6915584415584416,0.006543874740600586
15,0.8853211009174312,DTC,0.3902439024390244,1.9222824573516846,5,0.42105263157894735,0.36363636363636365,0.6537569573283859,0.653756957328386,0.007142066955566406
16,0.926605504587156,DTC,0.6363636363636364,2.2255735397338867,6,0.6363636363636364,0.6363636363636364,0.797773654916512,0.797773654916512,0.0070993900299072266
17,0.9166666666666666,DTC,0.5500000000000002,2.4470741748809814,7,0.5789473684210527,0.5238095238095238,0.7413919413919414,0.7413919413919413,0.006844520568847656
18,0.9259259259259259,DTC,0.6190476190476191,2.2747867107391357,8,0.6190476190476191,0.6190476190476191,0.7890109890109891,0.789010989010989,0.006440639495849609
19,0.8935185185185185,DTC,0.5306122448979592,2.4817047119140625,9,0.4642857142857143,0.6190476190476191,0.7710622710622711,0.7710622710622711,0.006799936294555664
20,0.926605504587156,KNN,0.6363636363636364,0.11485624313354492,0,0.6363636363636364,0.6363636363636364,0.797773654916512,0.7762059369202227,3.323375940322876
21,0.908256880733945,KNN,0.47368421052631576,0.1296710968017578,1,0.5625,0.4090909090909091,0.6866883116883117,0.7989332096474955,3.4217798709869385
22,0.908256880733945,KNN,0.5238095238095238,0.11554098129272461,2,0.55,0.5,0.7270408163265306,0.758812615955473,3.3272550106048584
23,0.8944954128440367,KNN,0.3783783783783784,0.11691403388977051,3,0.4666666666666667,0.3181818181818182,0.6386827458256029,0.7157931354359925,3.6218035221099854
24,0.908256880733945,KNN,0.4444444444444444,0.11691427230834961,4,0.5714285714285714,0.36363636363636365,0.6665120593692022,0.7606679035250463,3.621903657913208
25,0.9357798165137615,KNN,0.6111111111111112,0.11204409599304199,5,0.7857142857142857,0.5,0.7423469387755102,0.7911641929499071,3.1221020221710205
26,0.9541284403669725,KNN,0.7499999999999999,0.1159212589263916,6,0.8333333333333334,0.6818181818181818,0.8332560296846011,0.8380102040816326,3.4217934608459473
27,0.9444444444444444,KNN,0.6249999999999999,0.11455965042114258,7,0.9090909090909091,0.47619047619047616,0.7355311355311356,0.8293040293040294,3.42226243019104
28,0.9444444444444444,KNN,0.6842105263157895,0.1148381233215332,8,0.7647058823529411,0.6190476190476191,0.7992673992673993,0.9021978021978022,3.4216558933258057
29,0.9074074074074074,KNN,0.41176470588235287,0.11762118339538574,9,0.5384615384615384,0.3333333333333333,0.6512820512820513,0.7766788766788767,3.4215099811553955
30,0.8165137614678899,GaussianNB,0.4736842105263157,0.08533644676208496,0,0.3333333333333333,0.8181818181818182,0.8172541743970316,0.886595547309833,0.026120424270629883
31,0.7935779816513762,GaussianNB,0.4155844155844156,0.0840761661529541,1,0.2909090909090909,0.7272727272727273,0.7641465677179963,0.7573051948051949,0.026248693466186523
32,0.8211009174311926,GaussianNB,0.4657534246575343,0.08544802665710449,2,0.3333333333333333,0.7727272727272727,0.7996289424860854,0.8486781076066789,0.026167631149291992
33,0.7844036697247706,GaussianNB,0.3380281690140845,0.08400845527648926,3,0.24489795918367346,0.5454545454545454,0.6783395176252318,0.7343460111317254,0.02598857879638672
34,0.7844036697247706,GaussianNB,0.3896103896103896,0.08448195457458496,4,0.2727272727272727,0.6818181818181818,0.7388682745825603,0.7855983302411873,0.026190519332885742
